hyperedge_id,resource_id,resource_title,resource_type,domain,topic,level,goal,skill,prerequisite,rating,evidence_id,evidence_type,evidence_text
H0077,Resource026,Nghiệp vụ lễ tân khách sạn,PracticeExercise,Quản trị khách sạn,FrontOffice,Intermediate,UnderstandTheory,FrontOfficeService,None,3.7,E0077,LevelGoalEvidence,"'Nghiệp vụ lễ tân khách sạn' phù hợp mức Intermediate, hướng đến mục tiêu UnderstandTheory, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập."
H0078,Resource026,Nghiệp vụ lễ tân khách sạn,PracticeExercise,Quản trị khách sạn,FrontOffice,Intermediate,UnderstandTheory,FrontOfficeService,None,3.7,E0078,SkillEvidence,"Nội dung 'Nghiệp vụ lễ tân khách sạn' rèn kỹ năng FrontOfficeService, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu."
H0079,Resource027,Quản trị buồng phòng cơ bản,Book,Quản trị khách sạn,Housekeeping,ProjectReady,DevelopCareer,GuestCommunication,None,4.4,E0079,ContentEvidence,"Tài liệu 'Quản trị buồng phòng cơ bản' thuộc ngành Quản trị khách sạn, hỗ trợ chủ đề Housekeeping và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG."
H0080,Resource027,Quản trị buồng phòng cơ bản,Book,Quản trị khách sạn,Housekeeping,ProjectReady,DevelopCareer,GuestCommunication,None,4.4,E0080,LevelGoalEvidence,"'Quản trị buồng phòng cơ bản' phù hợp mức ProjectReady, hướng đến mục tiêu DevelopCareer, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập."
H0081,Resource027,Quản trị buồng phòng cơ bản,Book,Quản trị khách sạn,Housekeeping,ProjectReady,DevelopCareer,GuestCommunication,None,4.4,E0081,SkillEvidence,"Nội dung 'Quản trị buồng phòng cơ bản' rèn kỹ năng GuestCommunication, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu."
H0082,Resource028,Dịch vụ nhà hàng khách sạn,Video,Quản trị khách sạn,FoodBeverage,Foundation,LearnProgramming,ReservationHandling,None,3.7,E0082,ContentEvidence,"Tài liệu 'Dịch vụ nhà hàng khách sạn' thuộc ngành Quản trị khách sạn, hỗ trợ chủ đề FoodBeverage và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG."
H0083,Resource028,Dịch vụ nhà hàng khách sạn,Video,Quản trị khách sạn,FoodBeverage,Foundation,LearnProgramming,ReservationHandling,None,3.7,E0083,LevelGoalEvidence,"'Dịch vụ nhà hàng khách sạn' phù hợp mức Foundation, hướng đến mục tiêu LearnProgramming, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập."
H0084,Resource028,Dịch vụ nhà hàng khách sạn,Video,Quản trị khách sạn,FoodBeverage,Foundation,LearnProgramming,ReservationHandling,None,3.7,E0084,SkillEvidence,"Nội dung 'Dịch vụ nhà hàng khách sạn' rèn kỹ năng ReservationHandling, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu."
H0085,Resource029,Xử lý tình huống khách hàng,Notebook,Quản trị khách sạn,HotelService,Intermediate,LearnBusiness,HousekeepingInspection,None,4.4,E0085,ContentEvidence,"Tài liệu 'Xử lý tình huống khách hàng' thuộc ngành Quản trị khách sạn, hỗ trợ chủ đề HotelService và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG."
H0086,Resource029,Xử lý tình huống khách hàng,Notebook,Quản trị khách sạn,HotelService,Intermediate,LearnBusiness,HousekeepingInspection,None,4.4,E0086,LevelGoalEvidence,"'Xử lý tình huống khách hàng' phù hợp mức Intermediate, hướng đến mục tiêu LearnBusiness, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập."
H0087,Resource029,Xử lý tình huống khách hàng,Notebook,Quản trị khách sạn,HotelService,Intermediate,LearnBusiness,HousekeepingInspection,None,4.4,E0087,SkillEvidence,"Nội dung 'Xử lý tình huống khách hàng' rèn kỹ năng HousekeepingInspection, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu."
H0088,Resource030,Quản trị trải nghiệm khách lưu trú,ProjectSample,Quản trị khách sạn,GuestExperience,ProjectReady,ServiceOperations,ServiceRecovery,None,3.7,E0088,ContentEvidence,"Tài liệu 'Quản trị trải nghiệm khách lưu trú' thuộc ngành Quản trị khách sạn, hỗ trợ chủ đề GuestExperience và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG."
H0089,Resource030,Quản trị trải nghiệm khách lưu trú,ProjectSample,Quản trị khách sạn,GuestExperience,ProjectReady,ServiceOperations,ServiceRecovery,None,3.7,E0089,LevelGoalEvidence,"'Quản trị trải nghiệm khách lưu trú' phù hợp mức ProjectReady, hướng đến mục tiêu ServiceOperations, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập."
H0090,Resource030,Quản trị trải nghiệm khách lưu trú,ProjectSample,Quản trị khách sạn,GuestExperience,ProjectReady,ServiceOperations,ServiceRecovery,None,3.7,E0090,SkillEvidence,"Nội dung 'Quản trị trải nghiệm khách lưu trú' rèn kỹ năng ServiceRecovery, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu."
H0091,Resource031,Tài liệu đặt phòng và check-in,Tutorial,Quản trị khách sạn,HospitalityManagement,Foundation,FinancialAnalysis,EventCoordination,None,4.4,E0091,ContentEvidence,"Tài liệu 'Tài liệu đặt phòng và check-in' thuộc ngành Quản trị khách sạn, hỗ trợ chủ đề HospitalityManagement và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG."
H0092,Resource031,Tài liệu đặt phòng và check-in,Tutorial,Quản trị khách sạn,HospitalityManagement,Foundation,FinancialAnalysis,EventCoordination,None,4.4,E0092,LevelGoalEvidence,"'Tài liệu đặt phòng và check-in' phù hợp mức Foundation, hướng đến mục tiêu FinancialAnalysis, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập."
H0093,Resource031,Tài liệu đặt phòng và check-in,Tutorial,Quản trị khách sạn,HospitalityManagement,Foundation,FinancialAnalysis,EventCoordination,None,4.4,E0093,SkillEvidence,"Nội dung 'Tài liệu đặt phòng và check-in' rèn kỹ năng EventCoordination, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu."
H0094,Resource032,Tiêu chuẩn phục vụ khách sạn,Slide,Quản trị khách sạn,FrontOffice,Intermediate,CreativeDesign,FrontOfficeService,None,3.7,E0094,ContentEvidence,"Tài liệu 'Tiêu chuẩn phục vụ khách sạn' thuộc ngành Quản trị khách sạn, hỗ trợ chủ đề FrontOffice và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG."
H0095,Resource032,Tiêu chuẩn phục vụ khách sạn,Slide,Quản trị khách sạn,FrontOffice,Intermediate,CreativeDesign,FrontOfficeService,None,3.7,E0095,LevelGoalEvidence,"'Tiêu chuẩn phục vụ khách sạn' phù hợp mức Intermediate, hướng đến mục tiêu CreativeDesign, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập."
H0096,Resource032,Tiêu chuẩn phục vụ khách sạn,Slide,Quản trị khách sạn,FrontOffice,Intermediate,CreativeDesign,FrontOfficeService,None,3.7,E0096,SkillEvidence,"Nội dung 'Tiêu chuẩn phục vụ khách sạn' rèn kỹ năng FrontOfficeService, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu."
H0097,Resource033,Quản trị chất lượng dịch vụ lưu trú,PracticeExercise,Quản trị khách sạn,Housekeeping,ProjectReady,LearnFoundation,GuestCommunication,None,4.4,E0097,ContentEvidence,"Tài liệu 'Quản trị chất lượng dịch vụ lưu trú' thuộc ngành Quản trị khách sạn, hỗ trợ chủ đề Housekeeping và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG."
H0098,Resource033,Quản trị chất lượng dịch vụ lưu trú,PracticeExercise,Quản trị khách sạn,Housekeeping,ProjectReady,LearnFoundation,GuestCommunication,None,4.4,E0098,LevelGoalEvidence,"'Quản trị chất lượng dịch vụ lưu trú' phù hợp mức ProjectReady, hướng đến mục tiêu LearnFoundation, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập."
H0099,Resource033,Quản trị chất lượng dịch vụ lưu trú,PracticeExercise,Quản trị khách sạn,Housekeeping,ProjectReady,LearnFoundation,GuestCommunication,None,4.4,E0099,SkillEvidence,"Nội dung 'Quản trị chất lượng dịch vụ lưu trú' rèn kỹ năng GuestCommunication, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu."
H0100,Resource034,Kỹ năng giao tiếp ngành khách sạn,Book,Quản trị khách sạn,FoodBeverage,Foundation,PrepareExam,ReservationHandling,None,3.7,E0100,ContentEvidence,"Tài liệu 'Kỹ năng giao tiếp ngành khách sạn' thuộc ngành Quản trị khách sạn, hỗ trợ chủ đề FoodBeverage và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG."
H0101,Resource034,Kỹ năng giao tiếp ngành khách sạn,Book,Quản trị khách sạn,FoodBeverage,Foundation,PrepareExam,ReservationHandling,None,3.7,E0101,LevelGoalEvidence,"'Kỹ năng giao tiếp ngành khách sạn' phù hợp mức Foundation, hướng đến mục tiêu PrepareExam, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập."
H0102,Resource034,Kỹ năng giao tiếp ngành khách sạn,Book,Quản trị khách sạn,FoodBeverage,Foundation,PrepareExam,ReservationHandling,None,3.7,E0102,SkillEvidence,"Nội dung 'Kỹ năng giao tiếp ngành khách sạn' rèn kỹ năng ReservationHandling, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu."
H0103,Resource035,Case study vận hành khách sạn,Video,Quản trị khách sạn,HotelService,Intermediate,ImproveCommunication,HousekeepingInspection,None,4.4,E0103,ContentEvidence,"Tài liệu 'Case study vận hành khách sạn' thuộc ngành Quản trị khách sạn, hỗ trợ chủ đề HotelService và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG."
H0104,Resource035,Case study vận hành khách sạn,Video,Quản trị khách sạn,HotelService,Intermediate,ImproveCommunication,HousekeepingInspection,None,4.4,E0104,LevelGoalEvidence,"'Case study vận hành khách sạn' phù hợp mức Intermediate, hướng đến mục tiêu ImproveCommunication, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập."
H0105,Resource035,Case study vận hành khách sạn,Video,Quản trị khách sạn,HotelService,Intermediate,ImproveCommunication,HousekeepingInspection,None,4.4,E0105,SkillEvidence,"Nội dung 'Case study vận hành khách sạn' rèn kỹ năng HousekeepingInspection, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu."
H0106,Resource036,Ngữ pháp tiếng Anh nền tảng,Tutorial,Ngôn ngữ Anh,EnglishGrammar,Foundation,FinancialAnalysis,Grammar,None,3.7,E0106,ContentEvidence,"Tài liệu 'Ngữ pháp tiếng Anh nền tảng' thuộc ngành Ngôn ngữ Anh, hỗ trợ chủ đề EnglishGrammar và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG."
H0107,Resource036,Ngữ pháp tiếng Anh nền tảng,Tutorial,Ngôn ngữ Anh,EnglishGrammar,Foundation,FinancialAnalysis,Grammar,None,3.7,E0107,LevelGoalEvidence,"'Ngữ pháp tiếng Anh nền tảng' phù hợp mức Foundation, hướng đến mục tiêu FinancialAnalysis, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập."
H0108,Resource036,Ngữ pháp tiếng Anh nền tảng,Tutorial,Ngôn ngữ Anh,EnglishGrammar,Foundation,FinancialAnalysis,Grammar,None,3.7,E0108,SkillEvidence,"Nội dung 'Ngữ pháp tiếng Anh nền tảng' rèn kỹ năng Grammar, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu."
H0109,Resource037,Academic Writing cho sinh viên,Slide,Ngôn ngữ Anh,AcademicWriting,Intermediate,CreativeDesign,EssayWriting,None,4.4,E0109,ContentEvidence,"Tài liệu 'Academic Writing cho sinh viên' thuộc ngành Ngôn ngữ Anh, hỗ trợ chủ đề AcademicWriting và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG."
H0110,Resource037,Academic Writing cho sinh viên,Slide,Ngôn ngữ Anh,AcademicWriting,Intermediate,CreativeDesign,EssayWriting,None,4.4,E0110,LevelGoalEvidence,"'Academic Writing cho sinh viên' phù hợp mức Intermediate, hướng đến mục tiêu CreativeDesign, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập."
H0111,Resource037,Academic Writing cho sinh viên,Slide,Ngôn ngữ Anh,AcademicWriting,Intermediate,CreativeDesign,EssayWriting,None,4.4,E0111,SkillEvidence,"Nội dung 'Academic Writing cho sinh viên' rèn kỹ năng EssayWriting, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu."
H0112,Resource038,IELTS Listening Practice,PracticeExercise,Ngôn ngữ Anh,IELTS,ProjectReady,LearnFoundation,ListeningPractice,None,3.7,E0112,ContentEvidence,"Tài liệu 'IELTS Listening Practice' thuộc ngành Ngôn ngữ Anh, hỗ trợ chủ đề IELTS và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG."
H0113,Resource038,IELTS Listening Practice,PracticeExercise,Ngôn ngữ Anh,IELTS,ProjectReady,LearnFoundation,ListeningPractice,None,3.7,E0113,LevelGoalEvidence,"'IELTS Listening Practice' phù hợp mức ProjectReady, hướng đến mục tiêu LearnFoundation, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập."
H0114,Resource038,IELTS Listening Practice,PracticeExercise,Ngôn ngữ Anh,IELTS,ProjectReady,LearnFoundation,ListeningPractice,None,3.7,E0114,SkillEvidence,"Nội dung 'IELTS Listening Practice' rèn kỹ năng ListeningPractice, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu."
H0115,Resource039,IELTS Speaking theo chủ đề,Book,Ngôn ngữ Anh,BusinessEnglish,Foundation,PrepareExam,SpeakingFluency,None,4.4,E0115,ContentEvidence,"Tài liệu 'IELTS Speaking theo chủ đề' thuộc ngành Ngôn ngữ Anh, hỗ trợ chủ đề BusinessEnglish và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG."
H0116,Resource039,IELTS Speaking theo chủ đề,Book,Ngôn ngữ Anh,BusinessEnglish,Foundation,PrepareExam,SpeakingFluency,None,4.4,E0116,LevelGoalEvidence,"'IELTS Speaking theo chủ đề' phù hợp mức Foundation, hướng đến mục tiêu PrepareExam, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập."
H0117,Resource039,IELTS Speaking theo chủ đề,Book,Ngôn ngữ Anh,BusinessEnglish,Foundation,PrepareExam,SpeakingFluency,None,4.4,E0117,SkillEvidence,"Nội dung 'IELTS Speaking theo chủ đề' rèn kỹ năng SpeakingFluency, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu."
H0118,Resource040,Business English Communication,Video,Ngôn ngữ Anh,Speaking,Intermediate,ImproveCommunication,VocabularyBuilding,None,3.7,E0118,ContentEvidence,"Tài liệu 'Business English Communication' thuộc ngành Ngôn ngữ Anh, hỗ trợ chủ đề Speaking và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG."
H0119,Resource040,Business English Communication,Video,Ngôn ngữ Anh,Speaking,Intermediate,ImproveCommunication,VocabularyBuilding,None,3.7,E0119,LevelGoalEvidence,"'Business English Communication' phù hợp mức Intermediate, hướng đến mục tiêu ImproveCommunication, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập."
H0120,Resource040,Business English Communication,Video,Ngôn ngữ Anh,Speaking,Intermediate,ImproveCommunication,VocabularyBuilding,None,3.7,E0120,SkillEvidence,"Nội dung 'Business English Communication' rèn kỹ năng VocabularyBuilding, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu."
H0121,Resource041,Từ vựng học thuật tiếng Anh,Notebook,Ngôn ngữ Anh,Listening,ProjectReady,UnderstandTheory,TranslationSkill,None,4.4,E0121,ContentEvidence,"Tài liệu 'Từ vựng học thuật tiếng Anh' thuộc ngành Ngôn ngữ Anh, hỗ trợ chủ đề Listening và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG."
H0122,Resource041,Từ vựng học thuật tiếng Anh,Notebook,Ngôn ngữ Anh,Listening,ProjectReady,UnderstandTheory,TranslationSkill,None,4.4,E0122,LevelGoalEvidence,"'Từ vựng học thuật tiếng Anh' phù hợp mức ProjectReady, hướng đến mục tiêu UnderstandTheory, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập."
H0123,Resource041,Từ vựng học thuật tiếng Anh,Notebook,Ngôn ngữ Anh,Listening,ProjectReady,UnderstandTheory,TranslationSkill,None,4.4,E0123,SkillEvidence,"Nội dung 'Từ vựng học thuật tiếng Anh' rèn kỹ năng TranslationSkill, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu."
H0124,Resource042,Đọc hiểu tiếng Anh học thuật,ProjectSample,Ngôn ngữ Anh,Reading,Foundation,DevelopCareer,Grammar,None,3.7,E0124,ContentEvidence,"Tài liệu 'Đọc hiểu tiếng Anh học thuật' thuộc ngành Ngôn ngữ Anh, hỗ trợ chủ đề Reading và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG."
H0125,Resource042,Đọc hiểu tiếng Anh học thuật,ProjectSample,Ngôn ngữ Anh,Reading,Foundation,DevelopCareer,Grammar,None,3.7,E0125,LevelGoalEvidence,"'Đọc hiểu tiếng Anh học thuật' phù hợp mức Foundation, hướng đến mục tiêu DevelopCareer, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập."
H0126,Resource042,Đọc hiểu tiếng Anh học thuật,ProjectSample,Ngôn ngữ Anh,Reading,Foundation,DevelopCareer,Grammar,None,3.7,E0126,SkillEvidence,"Nội dung 'Đọc hiểu tiếng Anh học thuật' rèn kỹ năng Grammar, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu."
H0127,Resource043,Kỹ năng dịch Anh Việt cơ bản,Tutorial,Ngôn ngữ Anh,Translation,Intermediate,LearnProgramming,EssayWriting,None,4.4,E0127,ContentEvidence,"Tài liệu 'Kỹ năng dịch Anh Việt cơ bản' thuộc ngành Ngôn ngữ Anh, hỗ trợ chủ đề Translation và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG."
H0128,Resource043,Kỹ năng dịch Anh Việt cơ bản,Tutorial,Ngôn ngữ Anh,Translation,Intermediate,LearnProgramming,EssayWriting,None,4.4,E0128,LevelGoalEvidence,"'Kỹ năng dịch Anh Việt cơ bản' phù hợp mức Intermediate, hướng đến mục tiêu LearnProgramming, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập."
H0129,Resource043,Kỹ năng dịch Anh Việt cơ bản,Tutorial,Ngôn ngữ Anh,Translation,Intermediate,LearnProgramming,EssayWriting,None,4.4,E0129,SkillEvidence,"Nội dung 'Kỹ năng dịch Anh Việt cơ bản' rèn kỹ năng EssayWriting, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu."
H0130,Resource044,Phát âm tiếng Anh thực hành,Slide,Ngôn ngữ Anh,EnglishGrammar,ProjectReady,LearnBusiness,ListeningPractice,None,3.7,E0130,ContentEvidence,"Tài liệu 'Phát âm tiếng Anh thực hành' thuộc ngành Ngôn ngữ Anh, hỗ trợ chủ đề EnglishGrammar và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG."
H0131,Resource044,Phát âm tiếng Anh thực hành,Slide,Ngôn ngữ Anh,EnglishGrammar,ProjectReady,LearnBusiness,ListeningPractice,None,3.7,E0131,LevelGoalEvidence,"'Phát âm tiếng Anh thực hành' phù hợp mức ProjectReady, hướng đến mục tiêu LearnBusiness, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập."
H0132,Resource044,Phát âm tiếng Anh thực hành,Slide,Ngôn ngữ Anh,EnglishGrammar,ProjectReady,LearnBusiness,ListeningPractice,None,3.7,E0132,SkillEvidence,"Nội dung 'Phát âm tiếng Anh thực hành' rèn kỹ năng ListeningPractice, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu."
H0133,Resource045,Viết email tiếng Anh công việc,PracticeExercise,Ngôn ngữ Anh,AcademicWriting,Foundation,ServiceOperations,SpeakingFluency,None,4.4,E0133,ContentEvidence,"Tài liệu 'Viết email tiếng Anh công việc' thuộc ngành Ngôn ngữ Anh, hỗ trợ chủ đề AcademicWriting và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG."
H0134,Resource045,Viết email tiếng Anh công việc,PracticeExercise,Ngôn ngữ Anh,AcademicWriting,Foundation,ServiceOperations,SpeakingFluency,None,4.4,E0134,LevelGoalEvidence,"'Viết email tiếng Anh công việc' phù hợp mức Foundation, hướng đến mục tiêu ServiceOperations, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập."
H0135,Resource045,Viết email tiếng Anh công việc,PracticeExercise,Ngôn ngữ Anh,AcademicWriting,Foundation,ServiceOperations,SpeakingFluency,None,4.4,E0135,SkillEvidence,"Nội dung 'Viết email tiếng Anh công việc' rèn kỹ năng SpeakingFluency, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu."
H0136,Resource046,Tiếng Trung HSK 1 nhập môn,Notebook,Ngôn ngữ Trung,ChineseHSK,ProjectReady,UnderstandTheory,HSKVocabulary,None,3.7,E0136,ContentEvidence,"Tài liệu 'Tiếng Trung HSK 1 nhập môn' thuộc ngành Ngôn ngữ Trung, hỗ trợ chủ đề ChineseHSK và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG."
H0137,Resource046,Tiếng Trung HSK 1 nhập môn,Notebook,Ngôn ngữ Trung,ChineseHSK,ProjectReady,UnderstandTheory,HSKVocabulary,None,3.7,E0137,LevelGoalEvidence,"'Tiếng Trung HSK 1 nhập môn' phù hợp mức ProjectReady, hướng đến mục tiêu UnderstandTheory, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập."
H0138,Resource046,Tiếng Trung HSK 1 nhập môn,Notebook,Ngôn ngữ Trung,ChineseHSK,ProjectReady,UnderstandTheory,HSKVocabulary,None,3.7,E0138,SkillEvidence,"Nội dung 'Tiếng Trung HSK 1 nhập môn' rèn kỹ năng HSKVocabulary, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu."
H0139,Resource047,Tiếng Trung HSK 2 luyện tập,ProjectSample,Ngôn ngữ Trung,ChineseSpeaking,Foundation,DevelopCareer,ChineseListening,None,4.4,E0139,ContentEvidence,"Tài liệu 'Tiếng Trung HSK 2 luyện tập' thuộc ngành Ngôn ngữ Trung, hỗ trợ chủ đề ChineseSpeaking và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG."
H0140,Resource047,Tiếng Trung HSK 2 luyện tập,ProjectSample,Ngôn ngữ Trung,ChineseSpeaking,Foundation,DevelopCareer,ChineseListening,None,4.4,E0140,LevelGoalEvidence,"'Tiếng Trung HSK 2 luyện tập' phù hợp mức Foundation, hướng đến mục tiêu DevelopCareer, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập."
H0141,Resource047,Tiếng Trung HSK 2 luyện tập,ProjectSample,Ngôn ngữ Trung,ChineseSpeaking,Foundation,DevelopCareer,ChineseListening,None,4.4,E0141,SkillEvidence,"Nội dung 'Tiếng Trung HSK 2 luyện tập' rèn kỹ năng ChineseListening, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu."
H0142,Resource048,Ngữ pháp tiếng Trung cơ bản,Tutorial,Ngôn ngữ Trung,ChineseGrammar,Intermediate,LearnProgramming,ChineseSpeaking,None,3.7,E0142,ContentEvidence,"Tài liệu 'Ngữ pháp tiếng Trung cơ bản' thuộc ngành Ngôn ngữ Trung, hỗ trợ chủ đề ChineseGrammar và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG."
H0143,Resource048,Ngữ pháp tiếng Trung cơ bản,Tutorial,Ngôn ngữ Trung,ChineseGrammar,Intermediate,LearnProgramming,ChineseSpeaking,None,3.7,E0143,LevelGoalEvidence,"'Ngữ pháp tiếng Trung cơ bản' phù hợp mức Intermediate, hướng đến mục tiêu LearnProgramming, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập."
H0144,Resource048,Ngữ pháp tiếng Trung cơ bản,Tutorial,Ngôn ngữ Trung,ChineseGrammar,Intermediate,LearnProgramming,ChineseSpeaking,None,3.7,E0144,SkillEvidence,"Nội dung 'Ngữ pháp tiếng Trung cơ bản' rèn kỹ năng ChineseSpeaking, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu."
H0145,Resource049,Giao tiếp tiếng Trung hằng ngày,Slide,Ngôn ngữ Trung,BusinessChinese,ProjectReady,LearnBusiness,CharacterWriting,None,4.4,E0145,ContentEvidence,"Tài liệu 'Giao tiếp tiếng Trung hằng ngày' thuộc ngành Ngôn ngữ Trung, hỗ trợ chủ đề BusinessChinese và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG."
H0146,Resource049,Giao tiếp tiếng Trung hằng ngày,Slide,Ngôn ngữ Trung,BusinessChinese,ProjectReady,LearnBusiness,CharacterWriting,None,4.4,E0146,LevelGoalEvidence,"'Giao tiếp tiếng Trung hằng ngày' phù hợp mức ProjectReady, hướng đến mục tiêu LearnBusiness, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập."
H0147,Resource049,Giao tiếp tiếng Trung hằng ngày,Slide,Ngôn ngữ Trung,BusinessChinese,ProjectReady,LearnBusiness,CharacterWriting,None,4.4,E0147,SkillEvidence,"Nội dung 'Giao tiếp tiếng Trung hằng ngày' rèn kỹ năng CharacterWriting, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu."
H0148,Resource050,Từ vựng tiếng Trung thương mại,PracticeExercise,Ngôn ngữ Trung,ChineseVocabulary,Foundation,ServiceOperations,BusinessConversation,None,3.7,E0148,ContentEvidence,"Tài liệu 'Từ vựng tiếng Trung thương mại' thuộc ngành Ngôn ngữ Trung, hỗ trợ chủ đề ChineseVocabulary và có thể dùng làm nguồn học tập tham khảo trong hệ thống EAU-HyperRAG."
H0149,Resource050,Từ vựng tiếng Trung thương mại,PracticeExercise,Ngôn ngữ Trung,ChineseVocabulary,Foundation,ServiceOperations,BusinessConversation,None,3.7,E0149,LevelGoalEvidence,"'Từ vựng tiếng Trung thương mại' phù hợp mức Foundation, hướng đến mục tiêu ServiceOperations, giúp người học lựa chọn tài liệu theo trình độ và mục tiêu học tập."
H0150,Resource050,Từ vựng tiếng Trung thương mại,PracticeExercise,Ngôn ngữ Trung,ChineseVocabulary,Foundation,ServiceOperations,BusinessConversation,None,3.7,E0150,SkillEvidence,"Nội dung 'Từ vựng tiếng Trung thương mại' rèn kỹ năng BusinessConversation, có ví dụ và tình huống thực hành để hỗ trợ truy xuất evidence khi hệ thống gợi ý tài liệu."
